"STATE","ST_CASE","DAY_WEEK","HOUR","BODY_TYP","FATAL_COUNT"
"1","10663","7","23","90","1"
"1","10664","7","17","4","1"
"1","10665","1","2","5","1"
"1","10666","2","5","4","1"
"1","10667","2","18","4","1"
"1","10668","3","7","4","1"
"1","10669","4","6","30","1"
"1","10670","5","22","2","1"
"1","10671","7","15","4","1"
"1","10672","1","6","4","1"
"1","10673","4","0","14","1"
"1","10674","7","23","6","1"
"1","10675","4","17","66","1"
"1","10676","1","10","30","1"
"1","10677","3","14","4","1"
"1","10679","5","10","4","1"
"1","10680","4","13","4","1"
"1","10681","6","21","1","1"
"1","10682","7","21","4","1"
"1","10683","1","16","80","1"
"1","10684","4","17","80","1"
"1","10685","7","7","31","1"
"1","10686","7","10","31","1"
"1","10687","5","21","4","1"
"1","10688","5","5","31","1"
"1","10689","6","9","31","1"
"1","10690","4","17","92","1"
"1","10691","1","14","80","1"
"1","10692","1","1","31","1"
"1","10693","1","1","14","1"
"1","10694","2","16","15","1"
"1","10695","3","17","4","1"
"1","10696","4","3","4","1"
"1","10697","4","10","4","1"
"1","10698","6","18","1","1"
"1","10699","3","4","4","1"
"1","10700","7","6","4","1"
"1","10702","5","21","66","1"
"1","10703","7","11","30","1"
"1","10705","1","12","14","1"
"1","10706","2","2","2","1"
"1","10707","3","7","4","1"
"1","10708","4","18","99","1"
"1","10709","3","7","3","1"
"1","10711","4","18","31","1"
"1","10712","6","14","2","1"
"1","10713","4","10","4","1"
"1","10714","7","19","5","1"
"1","10715","2","22","15","1"
"1","10716","4","21","31","1"
"1","10717","5","6","21","1"
"1","10718","4","7","31","1"
"1","10719","7","3","14","1"
"1","10721","4","18","66","1"
"1","10722","7","15","4","1"
"1","10723","7","18","4","1"
"1","10724","2","13","31","1"
"1","10725","5","0","30","1"
"1","10726","5","16","5","1"
"1","10727","6","12","15","1"
"1","10728","7","1","4","1"
"1","10729","7","6","4","1"
"1","10730","7","22","31","1"
"1","10731","1","3","31","1"
"1","10732","1","4","4","1"
"1","10733","1","15","4","1"
"1","10734","1","20","4","1"
"1","10735","2","1","99","1"
"1","10736","5","6","14","1"
"1","10737","1","16","20","1"
"1","10738","4","18","14","1"
"1","10739","5","13","90","1"
"1","10740","5","17","80","1"
"1","10741","6","15","80","1"
"1","10742","6","18","80","1"
"1","10743","6","11","4","1"
"1","10744","1","18","4","1"
"1","10745","7","12","80","1"
"1","10746","5","17","4","1"
"1","10747","7","7","4","1"
"1","10748","2","20","31","1"
"1","10749","4","0","66","1"
"1","10750","4","16","4","1"
"1","10752","6","6","2","1"
"1","10753","4","18","31","1"
"1","10754","3","11","20","1"
"1","10756","5","17","4","1"
"1","10757","2","20","15","1"
"1","10758","1","19","20","1"
"1","10759","1","18","4","1"
"1","10761","3","7","4","1"
"1","10763","5","18","80","1"
"1","10764","4","4","31","1"
"1","10765","4","4","3","1"
"1","10766","6","20","4","1"
"1","10767","3","15","31","1"
"1","10768","7","21","4","1"
"1","10769","1","20","15","1"
"1","10770","3","12","66","1"
"1","10771","4","8","14","1"
"1","10772","1","9","30","1"
"1","10773","2","5","31","1"
"1","10774","6","1","4","1"
"1","10775","1","9","31","1"
"1","10776","2","16","30","1"
"1","10778","4","10","31","1"
"1","10779","6","15","4","1"
"1","10780","6","23","14","1"
"1","10781","7","2","2","1"
"1","10782","7","7","4","1"
"1","10783","7","18","4","1"
"2","20001","5","0","31","1"
"2","20002","6","20","14","1"
"2","20003","4","2","14","1"
"2","20004","7","0","31","1"
"2","20005","4","13","15","1"
"2","20006","5","18","30","1"
"2","20007","1","21","15","1"
"2","20008","6","10","14","1"
"2","20010","7","99","21","1"
"2","20011","2","6","4","1"
"2","20012","1","17","30","1"
"2","20013","1","4","14","1"
"2","20014","1","14","31","1"
"2","20015","7","18","6","1"
"2","20016","7","14","31","1"
"2","20017","1","14","31","1"
"2","20018","7","14","90","1"
"2","20019","4","20","4","1"
"2","20020","1","21","90","1"
"2","20021","6","14","80","1"
"2","20022","7","8","80","1"
"2","20023","5","1","31","1"
"2","20024","7","23","90","1"
"2","20025","6","23","80","1"
"2","20026","4","16","31","1"
"2","20027","6","19","80","1"
"2","20028","6","1","80","1"
"2","20029","2","17","80","1"
"2","20030","7","5","30","1"
"2","20032","7","4","20","1"
"2","20033","6","1","99","1"
"2","20034","7","21","31","1"
"2","20035","6","12","51","1"
"2","20037","4","2","20","1"
"2","20038","5","14","16","1"
"2","20039","3","21","90","1"
"2","20040","7","15","15","1"
"2","20041","1","0","2","1"
"2","20042","2","21","6","1"
"2","20043","6","23","99","1"
"2","20044","3","14","14","1"
"2","20045","1","18","31","1"
"2","20046","4","0","80","1"
"2","20047","4","5","20","1"
"2","20048","7","99","2","1"
"2","20049","1","0","80","1"
"2","20050","4","14","14","1"
"2","20051","3","9","20","1"
"2","20052","5","9","31","1"
"2","20053","4","18","31","1"
"2","20054","7","9","31","1"
"2","20056","7","99","91","1"
"2","20057","3","17","14","1"
"2","20058","5","17","31","1"
"2","20059","7","18","14","1"
"2","20060","3","21","16","1"
"4","40001","5","5","99","1"
"4","40002","5","9","4","1"
"4","40003","7","14","4","1"
"4","40004","1","21","14","1"
"4","40005","2","6","4","1"
"4","40006","3","10","31","1"
"4","40007","6","8","4","1"
"4","40008","6","19","1","1"
"4","40009","7","5","5","1"
"4","40011","1","7","31","1"
"4","40012","3","19","2","1"
"4","40014","4","14","21","1"
"4","40015","4","15","31","1"
"4","40016","4","19","14","1"
"4","40017","6","13","4","1"
"4","40018","6","16","31","1"
"4","40019","7","15","30","1"
"4","40022","7","4","31","1"
"4","40023","7","11","4","1"
"4","40024","1","1","80","1"
"4","40025","2","0","4","1"
"4","40026","3","1","15","1"
"4","40027","3","15","31","1"
"4","40028","4","14","80","1"
"4","40032","7","18","31","1"
"4","40033","6","19","4","1"
"4","40034","1","17","16","1"
"4","40036","5","15","4","1"
"4","40037","6","0","4","1"
"4","40038","6","7","14","1"
"4","40039","6","23","80","1"
"4","40040","1","2","6","1"
"4","40041","2","8","20","1"
"4","40042","4","22","80","1"
"4","40043","5","9","14","1"
"4","40044","7","3","66","1"
"4","40045","7","19","15","1"
"4","40046","7","17","31","1"
"4","40047","7","18","4","1"
"4","40048","7","22","90","1"
"4","40049","5","17","4","1"
"4","40050","1","20","31","1"
"4","40051","6","23","80","1"
"4","40052","7","21","1","1"
"4","40053","2","16","4","1"
"4","40054","7","17","4","1"
"4","40055","5","20","31","1"
"4","40056","6","18","1","1"
"4","40057","7","13","4","1"
"4","40058","1","0","4","1"
"4","40059","4","21","4","1"
"4","40060","7","2","80","1"
"4","40061","2","18","31","1"
"4","40062","5","19","20","1"
"4","40063","6","5","63","1"
"4","40064","3","10","4","1"
"4","40065","3","18","30","1"
"4","40066","4","15","16","1"
"4","40067","5","9","4","1"
"4","40068","5","16","80","1"
"4","40070","6","7","2","1"
"4","40071","7","9","80","1"
"4","40072","7","20","90","1"
"4","40073","2","11","15","1"
"4","40074","4","20","4","1"
"4","40075","5","18","66","1"
"4","40076","6","4","66","1"
"4","40077","6","16","4","1"
"4","40078","1","5","31","1"
"4","40079","1","20","4","1"
"4","40080","1","21","4","1"
"4","40081","2","12","80","1"
"4","40082","2","23","31","1"
"4","40083","3","6","4","1"
"4","40084","4","11","14","1"
"4","40085","4","15","4","1"
"4","40086","5","19","4","1"
"4","40087","6","9","31","1"
"4","40089","6","16","6","1"
"4","40090","6","18","14","1"
"4","40091","1","17","2","1"
"4","40092","3","7","30","1"
"4","40093","4","9","66","1"
"4","40094","5","5","63","1"
"4","40095","6","16","31","1"
"4","40096","6","7","31","1"
"4","40097","2","20","4","1"
"4","40098","5","8","4","1"
"4","40099","3","10","4","1"
"4","40100","5","20","99","1"
"4","40102","3","99","99","1"
"4","40103","4","17","31","1"
"4","40104","4","16","14","1"
"4","40106","6","20","31","1"
"4","40108","7","18","30","1"
"4","40109","7","23","4","1"
"4","40110","1","2","4","1"
"4","40111","1","12","6","1"
"4","40112","1","22","14","1"
"4","40113","5","13","4","1"
"4","40114","5","8","80","1"
"4","40115","6","99","99","1"
"4","40116","7","99","99","1"
"4","40117","1","1","4","1"
"4","40118","1","20","15","1"
"4","40119","2","16","14","1"
"4","40120","6","1","4","1"
"4","40121","6","99","99","1"
"4","40122","6","7","14","1"
"4","40123","7","19","99","1"
"4","40124","2","9","20","1"
"4","40125","2","10","30","1"
"4","40126","3","1","4","1"
"4","40127","6","7","66","1"
"4","40128","7","1","2","1"
"4","40129","7","18","31","1"
"4","40130","1","12","80","1"
"4","40131","2","17","31","1"
"4","40132","3","11","31","1"
"4","40133","3","16","20","1"
"4","40134","4","8","14","1"
"4","40135","4","23","30","1"
"4","40136","5","5","31","1"
"4","40137","5","6","31","1"
"4","40139","5","21","4","1"
"4","40140","6","1","31","1"
"4","40142","2","18","6","1"
"4","40143","2","20","14","1"
"4","40144","4","0","4","1"
"4","40145","4","7","14","1"
"4","40146","4","16","4","1"
"4","40147","5","5","2","1"
"4","40148","5","5","63","1"
