SPEEDREL,STATE,FATALS,MDRDSTRD,DAY_WEEK,ST_CASE
9,1,1,99,7,10568
9,1,1,99,7,10569
0,1,1,99,1,10570
3,1,1,0,2,10571
0,1,1,99,2,10572
3,1,1,99,6,10573
0,1,1,0,6,10574
3,1,1,99,7,10575
9,1,1,0,4,10576
0,1,1,99,1,10577
9,1,1,0,6,10578
3,1,1,0,3,10579
0,1,1,99,3,10580
0,1,1,99,3,10581
0,1,1,0,5,10582
0,1,1,99,4,10583
3,1,1,0,1,10584
0,1,1,0,2,10585
3,1,1,0,5,10586
4,1,1,99,2,10587
0,1,1,14,3,10588
3,1,1,99,5,10589
0,1,1,99,6,10590
0,1,1,6,2,10591
3,1,1,0,7,10592
4,1,2,99,1,10593
0,1,1,0,2,10594
9,1,1,99,4,10595
0,1,1,99,5,10596
0,1,1,0,2,10597
9,1,1,99,2,10598
0,1,1,0,2,10599
0,1,1,0,3,10600
0,1,1,198,5,10601
4,1,1,99,4,10602
0,1,1,3,6,10603
0,1,1,99,5,10604
0,1,1,99,5,10605
9,1,1,99,1,10606
3,1,1,99,3,10607
3,1,1,17,2,10608
0,1,1,0,5,10609
0,1,1,99,5,10610
9,1,>2,99,1,10611
4,1,1,0,1,10612
4,1,1,99,6,10613
0,1,1,198,7,10614
0,1,1,99,7,10615
0,1,1,99,1,10616
3,1,1,99,1,10617
0,1,1,0,2,10618
0,1,1,0,7,10619
0,1,1,0,1,10620
3,1,1,99,1,10621
0,1,1,0,2,10622
0,1,1,0,4,10623
3,1,1,0,1,10624
3,1,1,0,1,10625
0,1,1,0,4,10626
0,1,1,0,6,10627
0,1,1,99,6,10628
9,1,1,99,7,10629
9,1,1,0,1,10630
9,1,1,99,5,10631
3,1,1,0,5,10632
0,1,1,0,6,10633
9,1,1,99,7,10634
0,1,1,0,7,10635
0,1,1,99,1,10636
3,1,1,0,1,10637
9,1,1,99,7,10638
0,1,1,0,4,10639
0,1,1,99,5,10640
0,1,1,99,6,10641
3,1,1,99,6,10642
9,1,1,99,6,10643
0,1,2,99,2,10644
0,1,1,0,2,10645
0,1,1,99,6,10646
0,1,1,0,6,10647
3,1,1,0,7,10648
0,1,1,99,6,10649
9,1,1,99,7,10650
3,1,1,99,5,10651
0,1,1,0,1,10652
9,1,1,99,5,10653
0,1,1,99,3,10654
0,1,1,99,4,10655
3,1,>2,0,6,10656
3,1,1,99,1,10657
9,1,1,99,3,10658
9,1,1,99,5,10659
0,1,1,0,6,10660
0,1,1,0,6,10661
0,1,1,99,7,10662
0,1,1,0,7,10663
9,1,1,99,7,10664
0,1,1,99,1,10665
3,1,1,0,2,10666
9,1,1,99,2,10667
0,1,1,99,3,10668
0,1,1,0,4,10669
0,1,1,0,5,10670
0,1,1,0,7,10671
0,1,1,99,1,10672
0,1,1,0,4,10673
0,1,1,0,7,10674
