ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2
50121,3,21,2,1,1,1,1
50124,6,7,2,1,1,1,1
50129,3,21,9,1,1,1,1
50130,3,22,4,1,1,1,1
50133,1,9,2,1,1,1,1
50138,2,0,2,1,1,1,1
50140,4,13,4,1,1,1,1
50141,5,0,9,1,1,1,1
50142,5,7,4,1,1,1,1
50144,5,17,3,1,1,1,1
50148,7,16,1,1,1,1,1
50151,7,20,2,1,1,1,1
50152,1,19,4,1,1,1,1
50153,1,21,4,1,1,1,1
50154,2,18,4,1,1,1,1
50157,6,16,4,1,1,1,1
50162,2,18,2,1,1,1,1
50164,3,14,4,1,1,1,1
50168,4,21,4,1,1,1,1
50169,6,8,4,1,1,1,1
50170,7,21,2,1,1,1,1
50175,5,15,4,1,2,1,1
50181,1,7,4,1,2,1,1
50184,6,0,4,1,1,1,1
50185,7,11,4,1,1,1,1
50187,1,6,2,1,1,1,1
50189,3,13,4,1,1,1,1
50192,5,3,4,1,1,1,1
50197,6,16,4,1,1,1,1
50199,7,0,2,1,1,1,1
50201,7,17,4,1,1,1,1
50202,1,5,4,1,1,1,1
50204,1,17,4,1,1,1,1
50205,1,18,4,1,2,1,1
50207,2,19,4,1,2,1,1
50211,7,17,4,1,1,1,1
50217,5,10,4,1,1,1,1
50218,5,20,2,1,1,1,1
50224,4,17,2,1,1,1,1
50225,6,11,4,1,1,1,1
50227,6,9,2,1,2,1,1
50232,3,2,4,1,1,1,1
50237,7,17,4,1,1,1,1
50247,6,6,6,1,1,1,1
50248,6,23,4,1,1,1,1
50256,4,9,9,1,1,1,1
50261,1,15,4,1,1,1,1
50266,4,3,4,1,1,1,1
50270,1,9,4,1,1,1,1
50280,1,0,2,1,1,1,1
50288,6,16,4,1,1,1,1
50289,6,16,2,1,1,1,1
50292,1,15,2,1,1,1,1
50293,1,16,4,1,1,1,1
50299,3,17,4,1,1,1,1
50301,3,18,4,1,1,1,1
50303,4,22,3,1,1,1,1
50305,6,6,4,1,1,1,1
50306,6,22,4,1,1,1,1
50311,2,17,4,1,1,1,1
50312,4,1,4,1,1,1,1
50317,7,1,4,1,1,1,1
50318,7,6,4,1,1,1,1
50323,4,7,6,1,1,1,1
50329,1,15,4,1,1,1,1
50341,3,18,4,1,1,1,1
50343,4,13,2,1,1,1,1
50345,5,17,6,1,1,1,1
50347,1,14,3,1,2,1,1
50350,4,20,4,1,1,1,1
50352,5,23,4,1,1,1,1
50353,6,6,4,1,1,1,1
50354,7,0,4,1,1,1,1
50359,5,9,2,1,1,1,1
50364,3,11,6,1,1,1,1
50366,3,16,2,1,1,1,1
50368,5,10,4,1,1,1,1
50370,5,23,4,1,1,1,1
50372,6,14,9,1,10,1,1
50373,6,19,4,1,1,1,1
50379,5,20,3,1,2,1,1
50380,6,19,4,1,1,1,1
50382,7,9,4,1,10,1,1
50385,3,6,4,1,1,1,1
50387,4,9,4,1,1,1,1
50388,4,21,5,1,1,1,1
50389,5,16,4,1,1,1,1
50390,6,9,4,1,10,1,1
50392,6,14,6,1,2,1,1
50393,1,23,4,1,10,1,1
50395,2,11,4,1,2,1,1
50396,2,16,1,1,2,1,1
50398,4,17,4,1,1,1,1
50403,6,1,4,1,1,1,1
50407,3,8,3,1,10,1,1
50411,5,15,4,1,1,1,1
50413,6,1,4,1,2,1,1
50415,6,20,4,1,1,1,1
50417,2,0,4,1,1,1,1
50418,3,17,2,1,1,1,1
50422,5,14,4,1,1,1,1
50428,1,12,2,1,2,1,1
50429,2,17,4,1,2,1,1
50430,2,20,4,1,2,1,1
50433,4,22,4,1,1,1,1
50440,2,17,4,1,1,1,1
50443,4,9,4,1,1,1,1
50448,6,0,4,1,2,1,1
50450,2,9,4,1,2,1,1
50454,4,12,4,1,1,1,1
50461,3,23,4,1,1,1,1
50463,5,0,4,1,1,1,1
50467,1,15,2,1,2,1,1
50468,2,11,6,1,1,1,1
50475,2,23,4,1,5,1,1
50481,4,19,4,1,1,1,1
50483,5,23,4,1,1,1,1
60001,5,0,4,1,1,1,1
60007,6,14,4,1,1,1,1
60011,1,11,1,1,1,1,1
60012,1,18,4,1,1,1,1
60013,1,19,4,1,1,1,1
60014,7,23,4,1,1,1,1
60015,2,8,6,1,10,1,1
60017,3,14,4,1,1,1,1
60019,7,20,5,1,1,1,1
60021,5,3,6,1,1,1,1
60026,2,19,4,1,1,1,1
60032,7,22,4,1,2,1,1
60033,3,3,4,1,1,1,1
60036,2,5,4,1,5,1,1
60037,6,2,2,1,1,1,1
60039,3,20,4,1,1,1,1
60040,2,14,4,1,1,1,1
60042,2,17,3,1,1,1,1
60043,2,18,4,1,1,1,1
60044,4,3,4,1,1,1,1
60045,3,2,6,1,1,1,1
60047,4,17,4,1,1,1,1
60049,4,23,4,1,1,1,1
60050,3,9,4,1,1,1,1
60051,5,10,4,1,1,1,1
60052,4,3,2,1,1,1,1
60053,5,13,4,1,10,1,1
60059,5,4,4,1,1,1,1
60061,3,23,1,1,1,1,1
60062,5,18,2,1,10,1,1
60065,5,15,4,1,1,1,1
60069,6,13,1,1,10,1,1
60070,6,18,6,1,1,1,1
60071,1,19,2,1,1,1,1
60072,1,13,4,1,1,1,1
60074,3,18,4,1,1,1,1
60082,2,23,6,1,1,1,1
60087,4,18,4,1,1,1,1
60089,3,14,6,1,1,1,1
60090,5,13,2,1,1,1,1
60091,3,21,3,1,10,1,1
60093,4,0,4,1,1,1,1
60095,6,4,4,1,2,1,1
60096,4,17,2,1,1,1,1
60102,3,18,4,1,10,1,1
60103,5,1,5,1,1,1,1
60104,6,13,4,1,10,1,1
60105,7,2,3,1,1,1,1
60110,7,7,4,1,1,1,1
60112,4,17,4,1,1,1,1
60113,6,18,4,1,1,1,1
60119,7,14,6,1,1,1,1
60123,7,17,6,1,1,1,1
60125,2,2,2,1,1,1,1
60126,5,14,4,1,1,1,1
60129,7,22,4,1,1,1,1
60134,1,23,4,1,1,1,1
60135,1,13,4,1,1,1,1
60136,4,5,4,1,1,1,1
60139,1,0,4,1,1,1,1
60142,2,10,4,1,10,1,1
60143,2,6,4,1,10,1,1
60144,4,23,4,1,1,1,1
60145,2,13,4,1,2,1,1
60146,6,20,3,1,2,1,1
60147,5,7,4,1,5,1,1
60149,4,19,5,1,1,1,1
60150,2,12,4,1,1,1,1
60151,5,2,4,1,1,1,1
60155,2,19,4,1,2,1,1
60156,2,22,3,1,10,1,1
60160,7,1,4,1,1,1,1
60165,3,11,4,1,10,1,1
60166,7,5,4,1,10,1,1
60167,7,4,4,1,1,1,1
60169,4,13,5,1,1,1,1
60173,3,12,4,1,1,1,1
60175,1,14,4,1,1,1,1
60176,3,13,4,1,1,1,1
60177,1,2,4,1,1,1,1
60178,3,15,1,1,1,1,1
60179,5,2,4,1,1,1,1
60183,1,22,4,1,1,1,1
60184,3,18,4,1,1,1,1
60185,2,6,4,1,1,1,1
60188,3,19,2,1,1,1,1
60189,4,0,4,1,1,1,1
60190,3,18,4,1,1,1,1
60193,3,14,4,1,1,1,1
60194,7,17,4,1,2,1,1
60196,7,19,6,1,10,1,1
60200,7,19,2,1,1,1,1
60203,7,20,4,1,10,1,1
60207,6,16,4,1,1,1,1
60208,1,6,3,1,1,1,1
60209,3,5,6,1,1,1,1
60211,4,3,2,1,1,1,1
60213,4,7,6,1,1,1,1
60215,1,17,4,1,2,1,1
60217,1,18,4,1,1,1,1
60221,4,0,4,1,1,1,1
60223,4,19,4,1,1,1,1
60225,4,12,6,1,1,1,1
60226,4,14,3,1,1,1,1
60228,4,0,9,1,1,1,1
60231,5,18,2,1,1,1,1
60233,5,20,4,1,1,1,1
60234,6,18,3,1,1,1,1
60235,6,20,4,1,1,1,1
60240,6,21,3,1,10,1,1
60242,1,16,3,1,1,1,1
