ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2,STATE,SPEEDREL,MDRDSTRD,SPEEDREL2,MDRDSTRD2
10525,5,11,4,1,10,1,1,1,0,0,0,0
10529,5,5,2,1,1,1,1,1,0,0,0,0
10531,1,22,4,1,1,1,1,1,3,0,1,0
10535,5,9,4,1,1,1,1,1,0,0,0,0
10536,6,4,6,1,1,1,1,1,0,99,0,0
10539,5,4,4,1,1,1,1,1,0,99,0,0
10542,5,16,4,1,10,1,1,1,4,99,1,0
10543,7,21,4,1,1,1,1,1,9,99,1,0
10545,2,13,4,1,1,1,1,1,0,99,0,0
10546,4,7,4,1,1,1,1,1,0,92,0,1
10547,4,19,4,1,1,1,1,1,0,0,0,0
10551,7,19,3,1,1,1,1,1,3,99,1,0
10553,1,4,4,1,10,1,1,1,3,99,1,0
10556,5,13,5,1,1,1,1,1,9,99,1,0
10557,5,22,4,1,1,1,1,1,0,99,0,0
10558,6,8,4,1,2,1,1,1,0,99,0,0
10560,7,9,4,1,2,1,1,1,3,99,1,0
10561,1,13,3,1,10,1,1,1,3,0,1,0
10564,5,19,4,1,10,1,1,1,0,0,0,0
10568,7,3,4,1,2,1,1,1,9,99,1,0
10570,1,0,4,1,1,1,1,1,0,99,0,0
10576,4,4,4,1,1,1,1,1,9,0,1,0
10578,6,20,4,1,1,1,1,1,9,0,1,0
10579,3,9,6,1,1,1,1,1,3,0,1,0
10581,3,14,4,1,1,1,1,1,0,99,0,0
10582,5,2,4,1,1,1,1,1,0,0,0,0
10583,4,7,4,1,1,1,1,1,0,99,0,0
10584,1,20,4,1,1,1,1,1,3,0,1,0
10586,5,18,4,1,1,1,1,1,3,0,1,0
10587,2,6,6,1,2,1,1,1,4,99,1,0
10600,3,15,4,1,1,1,1,1,0,0,0,0
10601,5,5,3,1,2,1,1,1,0,198,0,1
10603,6,0,4,1,1,1,1,1,0,3,0,1
10604,5,17,4,1,1,1,1,1,0,99,0,0
10606,1,22,4,1,1,1,1,1,9,99,1,0
10614,7,5,4,1,1,1,1,1,0,198,0,1
10617,1,2,4,1,1,1,1,1,3,99,1,0
10619,7,14,4,1,10,1,1,1,0,0,0,0
10624,1,17,6,1,5,1,1,1,3,0,1,0
10625,1,2,2,1,2,1,1,1,3,0,1,0
10626,4,20,5,1,1,1,1,1,0,0,0,0
10628,6,14,4,1,10,1,1,1,0,99,0,0
10630,1,2,4,1,2,1,1,1,9,0,1,0
10631,5,14,4,1,1,1,1,1,9,99,1,0
10632,5,16,2,1,10,1,1,1,3,0,1,0
10633,6,21,6,1,1,1,1,1,0,0,0,0
10634,7,18,4,1,10,1,1,1,9,99,1,0
10635,7,20,4,1,1,1,1,1,0,0,0,0
10636,1,10,4,1,1,1,1,1,0,99,0,0
10637,1,1,2,1,1,1,1,1,3,0,1,0
10638,7,18,4,1,1,1,1,1,9,99,1,0
10641,6,21,4,1,1,1,1,1,0,99,0,0
10642,6,0,4,1,1,1,1,1,3,99,1,0
10647,6,17,4,1,1,1,1,1,0,0,0,0
10648,7,6,4,1,1,1,1,1,3,0,1,0
10649,6,12,6,1,1,1,1,1,0,99,0,0
10651,5,20,4,1,1,1,1,1,3,99,1,0
10655,4,15,4,1,2,1,1,1,0,99,0,0
10658,3,19,5,1,2,1,1,1,9,99,1,0
10661,6,17,4,1,1,1,1,1,0,0,0,0
10662,7,18,4,1,1,1,1,1,0,99,0,0
10664,7,17,4,1,1,1,1,1,9,99,1,0
10665,1,2,5,1,1,1,1,1,0,99,0,0
10666,2,5,4,1,1,1,1,1,3,0,1,0
10667,2,18,4,1,1,1,1,1,9,99,1,0
10668,3,7,4,1,1,1,1,1,0,99,0,0
10670,5,22,2,1,1,1,1,1,0,0,0,0
10671,7,15,4,1,1,1,1,1,0,0,0,0
10672,1,6,4,1,10,1,1,1,0,99,0,0
10674,7,23,6,1,1,1,1,1,0,0,0,0
10677,3,14,4,1,1,1,1,1,0,99,0,0
10679,5,10,4,1,10,1,1,1,3,99,1,0
10680,4,13,4,1,2,1,1,1,0,99,0,0
10681,6,21,1,1,1,1,1,1,0,99,0,0
10682,7,21,4,1,10,1,1,1,3,0,1,0
10687,5,21,4,1,10,1,1,1,3,0,1,0
10695,3,17,4,1,5,1,1,1,0,99,0,0
10696,4,3,4,1,2,1,1,1,4,99,1,0
10697,4,10,4,1,1,1,1,1,0,198,0,1
10698,6,18,1,1,2,1,1,1,0,99,0,0
10699,3,4,4,1,1,1,1,1,0,6,0,1
10700,7,6,4,1,10,1,1,1,9,0,1,0
10706,2,2,2,1,10,1,1,1,0,0,0,0
10707,3,7,4,1,10,1,1,1,0,99,0,0
10709,3,7,3,1,1,1,1,1,0,0,0,0
10712,6,14,2,1,1,1,1,1,0,0,0,0
10713,4,10,4,1,10,1,1,1,0,99,0,0
10714,7,19,5,1,1,1,1,1,3,99,1,0
10722,7,15,4,1,1,1,1,1,0,0,0,0
10723,7,18,4,1,10,1,1,1,3,99,1,0
10726,5,16,5,1,1,1,1,1,3,99,1,0
10728,7,1,4,1,2,1,1,1,0,7,0,1
10729,7,6,4,1,10,1,1,1,3,99,1,0
10732,1,4,4,1,10,1,1,1,0,99,0,0
10733,1,15,4,1,10,1,1,1,3,0,1,0
10734,1,20,4,1,10,1,1,1,0,0,0,0
10743,6,11,4,1,1,1,1,1,0,0,0,0
10744,1,18,4,1,1,1,1,1,0,99,0,0
10746,5,17,4,1,1,1,1,1,0,0,0,0
10747,7,7,4,1,10,1,1,1,3,99,1,0
10750,4,16,4,1,1,1,1,1,0,0,0,0
10752,6,6,2,1,10,1,1,1,3,0,1,0
10756,5,17,4,1,1,1,1,1,0,0,0,0
10759,1,18,4,1,1,1,1,1,0,99,0,0
10761,3,7,4,1,2,1,1,1,0,99,0,0
10765,4,4,3,1,1,1,1,1,3,0,1,0
10766,6,20,4,1,1,1,1,1,0,0,0,0
10768,7,21,4,1,1,1,1,1,9,99,1,0
10774,6,1,4,1,1,1,1,1,0,99,0,0
10779,6,15,4,1,10,1,1,1,0,0,0,0
10781,7,2,2,1,1,1,1,1,0,0,0,0
10782,7,7,4,1,1,1,1,1,0,3,0,1
10783,7,18,4,1,1,1,1,1,0,0,0,0
20011,2,6,4,1,1,1,1,2,0,0,0,0
20015,7,18,6,1,10,1,1,2,0,113,0,1
20019,4,20,4,1,1,1,1,2,0,96,0,1
20041,1,0,2,1,10,1,1,2,4,6,1,1
20042,2,21,6,1,1,1,1,2,0,96,0,1
40002,5,9,4,1,10,1,1,4,4,0,1,0
40003,7,14,4,1,1,1,1,4,0,5,0,1
40005,2,6,4,1,1,1,1,4,5,99,1,0
40007,6,8,4,1,1,1,1,4,4,0,1,0
40008,6,19,1,1,1,1,1,4,0,1,0,1
40009,7,5,5,1,1,1,1,4,5,0,1,0
40012,3,19,2,1,10,1,1,4,4,0,1,0
40017,6,13,4,1,1,1,1,4,0,0,0,0
40023,7,11,4,1,1,1,1,4,3,0,1,0
40025,2,0,4,1,1,1,1,4,0,0,0,0
40033,6,19,4,1,1,1,1,4,0,0,0,0
40036,5,15,4,1,1,1,1,4,4,17,1,1
40037,6,0,4,1,1,1,1,4,0,0,0,0
40040,1,2,6,1,1,1,1,4,4,0,1,0
40047,7,18,4,1,10,1,1,4,0,198,0,1
40049,5,17,4,1,10,1,1,4,4,99,1,0
